toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_tranmid
"1113.01",290348382,"FP",6.4410082,7076.0000000,2460140.2212050
"1114.01",409934330,"APC",2.4887726,4852.0000000,2460148.6161950
"1115.01",379286801,"APC",4.4519900,8483.3800000,2458658.3274700
"1116.01",304100538,"PC",5.0100708,409.4812214,2458325.6619060
"1117.01",295541511,"PC",2.2281625,630.0000000,2459386.9638140
"1118.01",90919952,"FP",4.1381200,5560.0000000,2458660.1631600
"1119.01",261369656,"APC",10.9566300,3830.0000000,2458666.5219900
"1120.01",143257766,"FP",1.6622600,6030.0000000,2458656.4508200
"1121.01",24094603,"FP",4.0761100,1454.1800000,2458658.6105200
"1122.01",304774444,"FP",3.6245513,1299.0000000,2460115.8525740
"1123.01",469782185,"APC",1.2092800,11883.8000000,2458658.0408700
"1124.01",128790976,"APC",3.5187707,5634.0000000,2460149.3917580
"1125.01",80166433,"PC",0.7724825,211.3168519,2459036.4950910
"1126.01",405862830,"FP",1.6268695,1502.0000000,2460122.4321080
"1127.01",269450900,"FP",2.3243900,2704.1800000,2458657.6307300
"1128.01",425721385,"FP",13.5499000,1180.0000000,2458663.1524500
"1129.01",91576611,"FP",4.4365100,1520.0000000,2458659.0692700
"1131.01",198213332,"PC",0.5860366,410.5241553,2458711.5954350
"1132.01",267489265,"FP",1.5502952,411.0000000,2460351.8001690
"1133.01",69997672,"FP",1.8070900,450.0000000,2458684.2349000
"1134.01",122220263,"FP",18.6922101,11126.0000000,2460333.4379830
"1135.01",154872375,"CP",8.0277326,5705.0000000,2460658.9742600
"1136.01",142276270,"CP",12.5187279,2320.0000000,2459612.4476910
"1136.02",142276270,"CP",6.2586065,813.0000000,2460366.0265140
"1136.03",142276270,"CP",26.3208756,800.0000000,2459594.1834630
"1136.04",142276270,"CP",18.7955470,470.6731965,2458697.7558070
"1137.01",89389197,"PC",1.3206356,1052.4255997,2459770.2406020
"1138.01",110428269,"FP",0.6497100,620.0000000,2458684.2050400
"1139.01",202563254,"PC",4.4780798,1054.0000000,2460549.4458560
"1140.01",320525204,"FP",13.7431084,5688.0000000,2460637.8616790
"1141.01",159510109,"FP",16.9487087,156467.5479643,2460289.8744080
"1142.01",284450803,"FP",3.3686634,3288.0000000,2460335.9375720
"1143.01",160268701,"FP",11.2071839,3276.0000000,2460352.7340570
"1145.01",350995812,"FP",2.9716400,7350.0000000,2458685.8164300
"1146.01",21755546,"FP",0.6601790,473.0939303,2459420.4152670
"1147.01",288391628,"FP",10.9278415,2743.0000000,2460331.3155980
"1148.01",349827430,"KP",5.5514888,9493.0000000,2460361.3665210
"1149.01",117789567,"APC",2.3202418,5082.9417064,2459770.3307840
"1151.01",69679391,"KP",3.4741012,15748.0000000,2460337.9863750
"1152.01",237184773,"FA",6.5011911,4501.3454064,2459392.7150520
"1153.01",154840461,"APC",6.0360758,987.0000000,2460472.2560510
"1154.01",459970307,"PC",21.7455370,659.0000000,2460339.3287090
"1155.01",161450762,"FP",1.3200300,552.4680000,2458683.9259400
"1156.01",117256577,"FP",1.6865822,1770.0000000,2459443.8504530
"1157.01",147576037,"FP",13.0727479,4080.0000000,2459603.7657730
"1158.01",379931600,"FP",2.9258727,6720.0000000,2459446.1758770
"1159.01",48188920,"FP",0.7377400,524.8520000,2458683.9470700
"1160.01",89510024,"FP",2.3664127,300.0000000,2459446.1467510
"1161.01",158324245,"KP",1.7635881,6650.0000000,2460556.4840690
"1162.01",13419950,"PC",7.3166682,3210.0000000,2460544.8156060
"1163.01",375542276,"PC",3.0771612,4703.2844346,2459441.8012560
"1164.01",16102323,"FP",3.2077145,9640.0000000,2459822.3128440
"1166.01",138361973,"FP",1.8824539,1391.0000000,2460556.1031960
"1167.01",232967666,"FP",15.1960000,1970.0000000,2458689.1163300
"1168.01",41330864,"FP",2.1358631,10325.0000000,2460363.6320240
"1169.01",302518439,"PC",6.7075429,11920.0000000,2460323.7605130
"1170.01",294176967,"FP",1.8296155,1406.0000000,2460556.9950210
"1171.01",101929303,"FP",11.1876137,4924.0000000,2460541.3814890
"1172.01",1717732429,"FP",7.8513949,22029.0000000,2460634.9456890
"1173.01",232967440,"CP",7.0643978,8268.0000000,2460341.7843050
"1174.01",154089169,"CP",8.9534775,1136.0000000,2460355.4033070
"1175.01",30329585,"FP",7.5022708,1760.0000000,2459437.5494790
"1176.01",230088370,"PC",14.0077666,5924.8349672,2458695.3617620
"1177.01",169177766,"FP",1.6928920,1418.0000000,2460556.6722430
"1178.01",359496368,"FP",2.6652007,819.0000000,2460646.7839670
"1179.01",148914726,"APC",1.2615323,2841.0000000,2460365.0366620
"1180.01",158002130,"CP",9.6867516,1669.0000000,2460473.4114860
"1181.01",229510866,"CP",2.1031647,7142.0000000,2460556.2423830
"1182.01",341544930,"FP",7.6416041,6025.0000000,2460386.2220600
"1183.01",258777137,"FP",5.9294088,10226.0000000,2460654.5656280
"1184.01",233087860,"CP",5.7484439,1041.0000000,2460558.3504410
"1185.01",83210867,"FP",1.1967018,824.0000000,2460532.1826550
"1186.01",289539327,"FP",11.2464616,7576.0000000,2460649.2545000
"1187.01",372757221,"PC",2.5941968,907.0000000,2460310.0891560
"1188.01",15247229,"FP",8.5112000,4172.7600000,2458687.1925300
"1189.01",112026224,"PC",3.9687994,1760.0000000,2459441.2864760
"1190.01",287196418,"APC",3.6950015,7655.0000000,2460553.8846660
"1191.01",237185205,"FP",15.7335693,2540.0000000,2459441.4232360
"1193.01",89643259,"FP",2.2219839,4394.0000000,2460337.3681380
"1194.01",147950620,"CP",2.3106428,6911.0000000,2460367.0721600
"1195.01",24364065,"FP",4.0513500,1132.2300000,2458686.8469600
"1196.01",69068526,"PC",5.5376617,5390.0000000,2459785.4981610
"1197.01",92677094,"PC",4.5960377,5000.0000000,2459787.1322090
"1198.01",203189770,"KP",3.6127710,11794.0000000,2460551.0403980
"1199.01",99869022,"CP",3.6714717,4340.0000000,2460360.4346690
"1200.01",288185138,"FP",0.8352406,2065.0000000,2460365.9955760
"1201.01",29960110,"CP",2.4919771,2093.9594201,2458411.6708770
"1203.01",23434737,"CP",25.5195307,558.3758637,2458553.0621160
"1204.01",467666275,"PC",1.3812115,117.7553083,2458569.9409990
"1205.01",287776397,"PC",2.3922703,63.5751410,2458383.2412230
"1206.01",308034948,"FP",0.8315420,248.9695850,2458569.7134980
"1207.01",364393429,"PC",2.6282553,75.2858004,2458325.5396640
"1208.01",273985865,"PC",3.4239436,443.6391381,2458327.4767030
"1208.02",273985865,"PC",10.9830420,725.1724567,2458331.1203110
"1208.03",273985865,"PC",17.7264490,747.7725499,2458341.8017260
"1211.01",50312495,"PC",18.1663644,624.0000000,2460180.1464460
"1213.01",399144800,"FP",27.2149622,4731.4046225,2458576.1894360
"1214.01",451606970,"PC",19.1807264,544.5602695,2458634.5524820
"1215.01",453260209,"PC",1.2124493,501.2911711,2458570.3959290
"1216.01",141527965,"PC",4.5541831,187.8286128,2458325.4241660
"1218.01",294781547,"PC",13.7739339,338.2166234,2460953.6725150
"1219.01",294981566,"PC",1.9142544,248.0000000,2460121.5610550
"1222.01",374997123,"PC",10.1944993,317.3261147,2458329.4662540
"1223.01",382437043,"FP",14.6431900,242.7923919,2458337.7470120
"1225.01",150428703,"PC",13.8963960,748.5332881,2458414.0828560
"1225.02",150428703,"PC",8.1213102,594.6443745,2458414.5480520
"1226.01",177115354,"PC",3.9287851,485.9762569,2458438.4582730
"1227.01",360156606,"CP",27.3613778,20690.6684294,2458617.4792560
"1228.01",300038935,"CP",29.0496801,297.0644469,2460904.7018710
"1230.01",287156968,"CP",25.0571312,533.4860130,2458620.3166860
"1231.01",447061717,"CP",24.2454967,6260.6703602,2458563.8904680
"1232.01",364395234,"CP",14.2545623,7899.6939555,2460938.7736430
"1234.01",90504905,"FP",2.2645386,15019.9420903,2458685.6131520
"1235.01",103633434,"CP",3.4447015,796.0000000,2460333.6314730
"1236.01",120757718,"KP",3.0300715,21794.6136956,2459422.6906390
"1238.01",153951307,"CP",3.2947689,1324.0402774,2458684.2873100
"1238.02",153951307,"CP",0.7645807,394.9832006,2458684.1046810
"1239.01",154716798,"PC",12.6396982,3292.6812864,2459604.0958010
"1240.01",158170594,"KP",1.7208555,10014.2587401,2459421.3299100
"1243.01",219698776,"CP",4.6595169,1725.1706259,2459598.1431640
"1244.01",219850915,"CP",6.4002807,1026.6018729,2459913.8109470
"1245.01",229781583,"PC",4.8204512,1930.0000000,2459764.3293170
"1246.01",230127302,"CP",18.6548829,1495.4449473,2459733.6438210
"1246.02",230127302,"CP",4.3074513,1094.8419495,2459737.5872150
"1246.03",230127302,"CP",5.9041278,773.9266468,2459740.3042620
"1247.01",232540264,"CP",15.9234883,493.0000000,2460311.8449140
"1248.01",232612416,"CP",4.3601536,5592.2909183,2458687.1215000
"1249.01",232976128,"CP",13.0791581,1143.0000000,2460342.3491210
"1250.01",233059608,"FA",1.4415044,547.3172736,2458683.6429670
"1251.01",233120979,"APC",5.9630544,11000.0000000,2459759.1786750
"1252.01",233211762,"PC",1.1219715,3997.6445916,2459662.0428760
"1253.01",233684822,"FP",4.6756655,738.0000000,2460658.6335570
"1254.01",236714379,"APC",1.0180114,2618.9492168,2459716.0112220
"1256.01",274762761,"FP",1.0332441,26111.5081972,2458683.9474760
"1257.01",278348461,"KP",5.4526479,7750.0000000,2459820.9773650
"1258.01",288132261,"PC",10.2613397,726.0000000,2460333.6487860
"1259.01",288735205,"CP",3.4779776,27021.6932424,2459764.8740890
"1261.01",356311210,"PC",18.0574016,1198.0572128,2459628.7714130
"1262.01",365938305,"PC",20.8774413,771.0000000,2460322.3580080
"1263.01",406672232,"PC",1.0214555,319.0000000,2460557.9284540
"1264.01",416195870,"PC",2.7441672,5650.0000000,2459765.8192640
"1265.01",424865156,"KP",2.2047452,6872.0000000,2460558.8005680
"1266.01",467179528,"CP",10.8948421,3168.3853584,2459649.7512990
"1266.02",467179528,"CP",18.8016111,1686.7881033,2459630.0464340
"1267.01",158561566,"KP",6.7900981,2158.1733568,2459425.4128160
"1269.01",198241702,"CP",4.2529641,758.5849990,2458686.6088100
"1269.02",198241702,"PC",9.2378703,660.0000000,2459739.0970320
"1270.01",237200747,"FP",14.3034613,48840.0000000,2459695.4458870
"1271.01",286923464,"KP",6.1349783,3860.0000000,2459657.4494610
"1272.01",417948359,"CP",3.3159772,2770.0000000,2459661.4013570
"1273.01",445859771,"CP",4.6313014,4860.0000000,2459684.9201370
"1274.01",459969957,"PC",19.3203478,13910.0000000,2459736.3407740
"1275.01",13499636,"FA",11.3246821,1937.5829721,2458714.5969640
"1276.01",43064903,"FA",6.2611690,4005.0228080,2459770.6821820
"1277.02",153949511,"PC",14.8559691,1127.0000000,2460319.1210180
"1278.01",163539739,"CP",14.4751062,9618.5798534,2459826.5402490
"1279.01",224297258,"CP",9.6141636,933.6532689,2459659.6735030
"1280.01",230017324,"PC",9.6926392,1838.2370548,2458691.3025480
"1281.01",232971294,"PC",6.3908880,435.0000000,2460351.3140660
"1282.01",236445129,"KP",0.9689927,13532.9710157,2459445.8928530
"1283.01",266593143,"KP",10.3385050,18162.0000000,2460539.0550310
"1284.01",267561446,"FP",1.2832510,1961.3182030,2458711.8156040
"1285.01",274662200,"FP",1.2284388,1229.4965125,2458712.3664000
"1286.01",277507814,"APC",0.6166953,1089.0000000,2460559.1485790
"1287.01",352764091,"PC",9.6001126,380.4193796,2459828.2569270
"1288.01",365733349,"CP",2.6998294,2798.0000000,2460445.6499790
"1289.01",408203470,"FP",0.5813220,3206.6010016,2458711.4106310
"1291.01",198186769,"PC",7.1619900,800.0000000,2459734.4272410
"1292.01",199688472,"FP",1.4412175,12927.0000000,2460351.1423330
"1293.01",202504234,"PC",1.6849938,990.0000000,2459689.4852550
"1294.01",219015370,"CP",3.9152737,3350.0000000,2459663.1617760
"1295.01",219852584,"CP",3.1968838,7958.9806560,2459913.3790430
"1296.01",219854185,"CP",3.9443668,6732.4884540,2459766.9625990
"1297.01",229536616,"FP",3.9303400,9724.5800000,2458686.9386600
"1298.01",237104103,"CP",4.5371361,4199.7558754,2459764.4198770
"1299.01",258777134,"FP",5.9294050,16410.0000000,2459599.1307620
"1301.01",356867115,"CP",6.0964074,1142.4891745,2459710.2942090
"1302.01",441797803,"PC",5.6666168,9780.0000000,2459738.4027770
"1303.01",185405474,"FP",1.5602900,1690.0000000,2458684.1363500
"1304.01",186000935,"FP",8.8735214,1949.0000000,2460552.7906820
"1305.01",232679662,"FP",7.8513774,21571.0000000,2460650.6476520
"1306.01",233735068,"FP",7.6869063,4500.0000000,2459852.0454550
"1307.01",236815160,"APC",2.5346120,5185.2815163,2459764.1346360
"1308.01",277014266,"FP",1.3797091,1320.0000000,2459446.2904680
"1309.01",287190564,"FP",1.4986100,2188.6100000,2458684.7628400
"1310.01",294179389,"FP",2.6796000,7590.0000000,2458685.4705000
"1311.01",378159598,"APC",6.1406417,9437.1831553,2459392.6440180
"1312.01",405904232,"FP",11.0765063,4400.0000000,2460549.0827410
"1313.01",11111899,"FP",0.6193401,1853.0000000,2460557.8009730
"1314.01",136848581,"FP",2.6400663,1328.0000000,2460365.8222000
"1315.01",137284119,"FP",2.5778717,1010.0000000,2459820.4091010
"1316.01",15565627,"FP",3.8050900,1280.0000000,2458684.0607200
"1317.01",165523947,"FP",2.9904100,1290.0000000,2458711.8577600
"1318.01",167092385,"PC",4.9865029,1341.0000000,2460557.0565790
"1319.01",167098530,"FP",0.8909670,1100.0000000,2459823.8537400
"1320.01",167403519,"PC",3.9729429,4558.0000000,2460556.4649580
"1321.01",195199644,"FP",1.1988800,1169.0300000,2458712.2597100
"1322.01",240450679,"APC",3.3764400,5791.2000000,2458711.4496900
"1323.01",256886630,"FP",2.0390500,430.0000000,2458713.2005900
"1324.01",266688542,"FP",2.9424142,1400.0000000,2460389.2302140
